Date,PlayerNo.,Name,CashBuilder,Chaser,LowerOffer,HigherOffer,ChosenOffer,HTHResult,FC CorrectAnswers,FC Winner,Amount WonBy Player,bgc,Series
01/03/2019,P2,Maurice,"£4,000",Shaun Wallace,"£1,000","£26,000","£4,000 =",Home +1,3 (team 2),Chaser by 0:28,£0,C,12
01/03/2019,P3,Nicky,"£7,000",Shaun Wallace,"£1,000","£36,000","£7,000 =",Home +3,10 (team 2),Chaser by 0:28,£0,C,12
01/03/2019,P4,Lise,"£2,000",Shaun Wallace,"-£2,000","£49,000","£2,000 =",Caught -1,,Chaser by 0:28,£0,,12
04/03/2019,P1,Wendy,"£5,000",Anne Hegerty,"£1,000","£25,000","£5,000 =",Caught -5,,Chaser by 1:12,£0,,12
04/03/2019,P2,Harry,"£5,000",Anne Hegerty,£500,"£30,000","£5,000 =",Home +1,1 (team 2),Chaser by 1:12,£0,C,12
04/03/2019,P3,Liz,"£6,000",Anne Hegerty,"£1,000","£36,000","£6,000 =",Caught -3,,Chaser by 1:12,£0,,12
04/03/2019,P4,Stuart,"£6,000",Anne Hegerty,"-£1,000","£55,000","£6,000 =",Home +2,7 (team 2),Chaser by 1:12,£0,C,12
05/03/2019,P1,Kev,"£3,000",Shaun Wallace,£300,"£21,000","£3,000 =",Caught -2,,Team by 4,£0,,12
05/03/2019,P2,David,"£4,000",Shaun Wallace,"£1,000","£28,000","£4,000 =",Home +2,4 (team 3),Team by 4,"£2,333",T,12
05/03/2019,P3,Sandy,"£4,000",Shaun Wallace,£400,"£32,000","£4,000 =",Home +1,5 (team 3),Team by 4,"£2,333",T,12
05/03/2019,P4,Alys,"£2,000",Shaun Wallace,"-£1,000","£52,000","-£1,000 \/",Home +1,2 (team 3),Team by 4,"£2,333",T,12
06/03/2019,P1,Carl,"£5,000",Paul Sinha,"£1,000","£25,000","£1,000 \/",Home +4,10 (solo),Chaser by 0:53,£0,C,12
06/03/2019,P2,Kerry,"£4,000",Paul Sinha,"-£1,000","£28,000","£4,000 =",Caught -4,,Chaser by 0:53,£0,,12
06/03/2019,P3,Hannah,"£1,000",Paul Sinha,£100,"£30,000","£1,000 =",Caught -1,,Chaser by 0:53,£0,,12
06/03/2019,P4,Mark,"£4,000",Paul Sinha,-£500,"£56,000","£4,000 =",Caught -2,,Chaser by 0:53,£0,,12
08/03/2019,P1,Matt,"£3,000",Mark Labbett,£300,"£21,000","£3,000 =",Home +2,6 (team 3),Chaser by 0:30,£0,C,12
08/03/2019,P2,Shirley,"£2,000",Mark Labbett,"£1,000","£30,000","£1,000 \/",Home +3,2 (team 3),Chaser by 0:30,£0,C,12
08/03/2019,P3,Rachel,"£2,000",Mark Labbett,"-£1,000","£40,000","£2,000 =",Caught -2,,Chaser by 0:30,£0,,12
08/03/2019,P4,Keith,"£4,000",Mark Labbett,"-£1,000","£66,000","£66,000 /\",Home +2,5 (team 3),Chaser by 0:30,£0,C,12
18/03/2019,P1,Jon,"£7,000",Jenny Ryan,£125,"£27,000","£7,000 =",Home +1,10 (team 3),Team by 7,"£6,333",T,12
18/03/2019,P2,Dorinda,"£5,000",Jenny Ryan,"£1,000","£30,000","£5,000 =",Home +3,8 (team 3),Team by 7,"£6,333",T,12
18/03/2019,P3,Oli,"£7,000",Jenny Ryan,"-£1,000","£40,000","£7,000 =",Home +3,2 (team 3),Team by 7,"£6,333",T,12
