Date,Episode,Team,Chaser,NPlayersFinal,PrizeFund,Target,Series,isCelebrity,ChaserWin,ChaserWinBy,ChaserLoseBy
15/10/2012,110.0,"David, Maggie, Katie, Laure",Shaun Wallace,0,4000.0,13,5,False,True,69,0
16/10/2012,111.0,"Glyn, Jamie, Frankie, Carl",Anne Hegerty,4,20000.0,23,5,False,False,0,1
18/10/2012,113.0,"Andy, Justin, Lindsey, Laurie",Shaun Wallace,4,31000.0,24,5,False,False,0,7
19/10/2012,114.0,"Siobhan, Dave, Will, Susie",Paul Sinha,2,6300.0,17,5,False,True,7,0
22/10/2012,115.0,"David, Dan, Janet, Matt",Mark Labbett,2,4000.0,17,5,False,False,0,4
23/10/2012,116.0,"Bob, Linda, Louise, Steven",Anne Hegerty,3,13000.0,16,5,False,True,21,0
24/10/2012,117.0,"Sean, Janet, Nick, Tracey",Paul Sinha,2,5000.0,16,5,False,True,15,0
25/10/2012,118.0,"Debbie, Nigel, Barrie, Elicia",Shaun Wallace,2,11000.0,14,5,False,False,0,6
26/10/2012,119.0,"Mike, Paul, Martin, Ruth",Mark Labbett,3,17000.0,19,5,False,True,36,0
30/03/2013,112.0,"Amanda, Chris, Wayne, Leah",Mark Labbett,2,30000.0,15,5,False,True,49,0
29/10/2012,1.0,"John, Mike, Veronica, Kiera-Marie",Mark Labbett,2,14000.0,22,6,False,False,0,4
30/10/2012,2.0,"Steve, Una, Mike, Mel",Paul Sinha,3,37000.0,17,6,False,True,2,0
31/10/2012,3.0,"Bill, Robert, Peggy, Dan",Anne Hegerty,3,19000.0,18,6,False,True,24,0
01/11/2012,4.0,"Dan, Clare, Ash, Shellie",Shaun Wallace,2,40000.0,17,6,False,False,0,6
02/11/2012,5.0,"Gary, Jan, Julie, Matt",Mark Labbett,1,5000.0,15,6,False,True,57,0
05/11/2012,6.0,"Martin, Jamie, Teresa, Fiona",Anne Hegerty,3,45000.0,17,6,False,True,28,0
06/11/2012,7.0,"Sean, Rose, Laura, Mark",Shaun Wallace,2,12000.0,18,6,False,True,12,0
07/11/2012,8.0,"Barrie, Joan, Tom, Sara-Louise",Mark Labbett,1,2000.0,10,6,False,True,76,0
08/11/2012,9.0,"Phil, Terry, Emily, Debra",Paul Sinha,2,2000.0,15,6,False,True,40,0
09/11/2012,10.0,"Shell, Jeff, Ann, Darren",Shaun Wallace,3,9000.0,18,6,False,True,13,0
12/11/2012,11.0,"Marina, David, Lou, Chris",Mark Labbett,2,34000.0,14,6,False,True,61,0
13/11/2012,12.0,"Helen, Charlie, Vera, Khakan",Anne Hegerty,2,15000.0,16,6,False,True,18,0
14/11/2012,13.0,"Sandra, Paul, Shing, Claire",Shaun Wallace,2,15000.0,19,6,False,True,7,0
15/11/2012,14.0,"Gordon, Caroline, Katy, Steve",Mark Labbett,3,21000.0,21,6,False,False,0,3
16/11/2012,15.0,"Wayne, Andrew, Lynette, Lucy",Paul Sinha,1,20000.0,14,6,False,True,19,0
19/11/2012,16.0,"Joe, Viv, Donna, Mitch",Anne Hegerty,3,45000.0,18,6,False,True,36,0
20/11/2012,17.0,"Gerard, Ann, Donna, Sian",Mark Labbett,3,12001.0,19,6,False,False,0,2
21/11/2012,18.0,"Richard, David, Natalie, Carol",Paul Sinha,2,7000.0,16,6,False,True,19,0
22/11/2012,19.0,"Peter, Iain, Robyn, Linda",Shaun Wallace,2,10000.0,20,6,False,False,0,5
23/11/2012,20.0,"Craig, Charles, Sarah, Lisa",Mark Labbett,0,4000.0,9,6,False,True,74,0
26/11/2012,21.0,"Suzanne, Alex, James, Myra",Paul Sinha,3,32000.0,16,6,False,True,23,0
27/11/2012,22.0,"Lewis, Sue, Stuart, Dawn",Anne Hegerty,2,12000.0,18,6,False,True,45,0
28/11/2012,23.0,"Neil, Nick, Gill, Lou",Shaun Wallace,2,13000.0,15,6,False,True,45,0
29/11/2012,24.0,"Aidan, Jono, Megan, Mary",Anne Hegerty,3,14000.0,19,6,False,False,0,3
30/11/2012,25.0,"Dave, Sandra, Charlie, Jo",Mark Labbett,1,6000.0,7,6,False,True,93,0
03/12/2012,26.0,"Beverley, David, Adelle, Brenda",Shaun Wallace,1,35000.0,18,6,False,True,12,0
04/12/2012,27.0,"Malcolm, Joanne, Chris, Andrena",Anne Hegerty,1,5000.0,12,6,False,True,65,0
05/12/2012,28.0,"Tina, Paul, Laura, Brian",Paul Sinha,4,23000.0,20,6,False,False,0,1
06/12/2012,29.0,"Mark, Elaine, Kate, Ryan",Mark Labbett,2,6200.0,22,6,False,True,1,0
07/12/2012,30.0,"Mike, Annette, Deborah, Roy",Anne Hegerty,2,6000.0,16,6,False,True,22,0
10/12/2012,31.0,"Robin, Kate, Neil, Sue",Shaun Wallace,3,47000.0,18,6,False,True,26,0
11/12/2012,32.0,"Carol, Ian, James, Nicki",Mark Labbett,4,22000.0,23,6,False,False,0,8
12/12/2012,33.0,"Paul, Lauri, Daniel, Doreen",Paul Sinha,3,27000.0,14,6,False,True,55,0
13/12/2012,34.0,"Leslie, Pauline, Charlie, Nick",Anne Hegerty,2,14000.0,20,6,False,True,23,0
14/12/2012,35.0,"Dave, Helen, Tracy, Fraser",Shaun Wallace,1,5000.0,14,6,False,False,0,3
